0	0	0	21	5	3	19	5	213
0	0	1	21	5	3	19	4	212
0	0	2	21	5	3	18	5	197
0	0	3	21	5	3	18	4	196
0	0	4	21	5	3	17	5	181
0	0	5	21	5	3	17	4	180
0	0	6	21	5	3	16	5	165
0	0	7	21	5	3	16	4	164
0	1	0	22	6	3	23	5	277
0	1	1	22	6	3	23	4	276
0	1	2	22	6	3	22	5	261
0	1	3	22	6	3	22	4	260
0	1	4	22	6	3	21	5	245
0	1	5	22	6	3	21	4	244
0	1	6	22	6	3	20	5	229
0	1	7	22	6	3	20	4	228
0	2	0	23	7	4	27	7	329
0	2	1	23	7	4	27	6	328
0	2	2	23	7	4	26	7	317
0	2	3	23	7	4	26	6	316
0	2	4	23	7	4	25	7	305
0	2	5	23	7	4	25	6	304
0	2	6	23	7	4	24	7	293
0	2	7	23	7	4	24	6	292
0	3	0	24	6	4	23	7	279
0	3	1	24	6	4	23	6	278
0	3	2	24	6	4	22	7	263
0	3	3	24	6	4	22	6	262
0	3	4	24	6	4	21	7	247
0	3	5	24	6	4	21	6	246
0	3	6	24	6	4	22	7	231
0	3	7	24	6	4	22	6	230
1	0	0	9	7	6	27	11	333
1	0	1	9	7	6	27	10	332
1	0	2	9	7	6	26	11	321
1	0	3	9	7	6	26	10	320
1	0	4	9	7	6	25	11	309
1	0	5	9	7	6	25	10	308
1	0	6	9	7	6	24	11	297
1	0	7	9	7	6	24	10	296
1	1	0	10	6	6	23	11	283
1	1	1	10	6	6	23	10	282
1	1	2	10	6	6	22	11	267
1	1	3	10	6	6	22	10	266
1	1	4	10	6	6	21	11	251
1	1	5	10	6	6	21	10	250
1	1	6	10	6	6	20	11	235
1	1	7	10	6	6	20	10	234
1	2	0	11	5	6	19	11	219
1	2	1	11	5	6	19	10	218
1	2	2	11	5	6	18	11	203
1	2	3	11	5	6	18	10	202
1	2	4	11	5	6	17	11	187
1	2	5	11	5	6	17	10	186
1	2	6	11	5	6	16	11	171
1	2	7	11	5	6	16	10	170
1	3	0	12	6	5	23	9	281
1	3	1	12	6	5	23	8	280
1	3	2	12	6	5	22	9	265
